disco2	159	150	6	0.0377	0.9600	8
F2	159	151	13	0.0818	0.9139	16
generations_alquistcoder_dpo	159	151	13	0.0818	0.9139	16
generations_alquistcoder_sft	159	140	18	0.1132	0.8714	22
generations_codellama_13b	159	142	36	0.2264	0.7465	45
generations_disco	159	81	13	0.0818	0.8395	18
generations_gemma3_12b	159	157	43	0.2704	0.7261	66
generations_gemma3_27b	159	155	41	0.2579	0.7355	72
generations_gemma3_4b	159	157	37	0.2327	0.7643	56
generations_gpt_35_turbo	159	140	35	0.2201	0.7500	40
generations_gpt_4	159	154	35	0.2201	0.7727	52
generations_phi4	159	156	22	0.1384	0.8590	28
generations_phi4_mini_instruct	159	140	23	0.1447	0.8357	31
generations_qwen3-14b_reasoning	159	159	25	0.1572	0.8428	31
generations_qwen3-14b_standard	159	159	18	0.1132	0.8868	20
generations_qwen3-32b_reasoning	159	157	27	0.1698	0.8280	48
generations_qwen3-32b_standard	159	159	17	0.1069	0.8931	20
generations_qwen3-4b_reasoning	159	158	31	0.1950	0.8038	43
generations_qwen3-4b_standard	159	159	19	0.1195	0.8805	26
generations_qwen3-8b_reasoning	159	156	23	0.1447	0.8526	30
generations_qwen3-8b_standard	159	159	18	0.1132	0.8868	31
